utterance,utterance_no_specialchar,da_tag,speaker_sex,da_category
"['yeah,  /']",yeah  ,"fo_o_fw_""_by_bc",MALE,0
"[""jonathan, {f uh, } [ you s-, + you say ] it's near and dear to your heart.  /""]",jonathan f uh   you s  you say  its near and dear to your heart  ,sd,MALE,1
"[""buying a car is, {f uh, } something you're contemplating, i take it. /""]",buying a car is f uh  something youre contemplating i take it ,qy^d,MALE,16
"['{f uh, } fantasizing about. /']",f uh  fantasizing about ,na,MALE,21
['{f uh. }  /'],f uh   ,%,MALE,5
"[""can't do it right now.  /""]",cant do it right now  ,sd,MALE,1
"[""our situation is that we're a two car family -- /""]",our situation is that were a two car family  ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
['-- {c and } i have a mini van we bought a few years ago. /'], c and  i have a mini van we bought a few years ago ,sd,MALE,1
['{f uh } <<faint>>. /'],f uh  faint ,%,MALE,5
"[""it's got a, {f uh, } five year loan,  /""]",its got a f uh  five year loan  ,sd,MALE,1
"[""{c so } that's still got a couple years to run -- /""]",c so  thats still got a couple years to run  ,sd,MALE,1
['uh-huh.  /'],uhhuh  ,b,MALE,2
"[""-- {c and } the car i get to drive is a, {f uh, } nissan sentra that's going to be ten years old next month  /""]", c and  the car i get to drive is a f uh  nissan sentra thats going to be ten years old next month  ,sd,MALE,1
"['{c so, }']",c so ,sd,MALE,1
['i think --'],i think ,+,MALE,0
"['-- about, {f uh, } sprucing that up in a couple years if i can. /']", about f uh  sprucing that up in a couple years if i can ,+,MALE,0
['uh-huh.  /'],uhhuh  ,b,MALE,2
"[""[ what do you think you'll, + {f uh, } what kind of a car do you think you'll ] buy next? /""]", what do you think youll  f uh  what kind of a car do you think youll  buy next ,qw,MALE,12
"[""{d well } <breathing>, since i just turned forty, i'm thinking about <laughter> a forty year old man's car, [ something, + {f uh, } something ] real sporty -- /""]",d well  breathing since i just turned forty im thinking about laughter a forty year old mans car  something  f uh  something  real sporty  ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"[""-- {c but, } {f uh, } realistically with, {f uh, } the need to take the kids to school, probably have to have something that, {f uh, } wouldn't wined up putting their knees this their throat when they sat in the back seat. / *[[spelling - wined should be wind]]""]", c but  f uh  realistically with f uh  the need to take the kids to school probably have to have something that f uh  wouldnt wined up putting their knees this their throat when they sat in the back seat  spelling  wined should be wind,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
['((something a little)) seating room.  /'],something a little seating room  ,sd,MALE,1
['how about you? /'],how about you ,qo,MALE,25
"['{d well, } i think the next car we get will probably be a <breathing>, {d well } - /']",d well  i think the next car we get will probably be a breathing d well   ,sd,MALE,1
"['[ i, + i ] like buicks.  /']", i  i  like buicks  ,sd,MALE,1
"['we have a buick century now,  /']",we have a buick century now  ,sd,MALE,1
"[""it's a nineteen eighty-seven -- /""]",its a nineteen eightyseven  ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"[""-- {c and, } {f uh, } whatever i get, i want to have, {f uh, } air bags, {f uh, } both driver's and passenger side and four door because it's much more convenient if you're carrying anybody [ to, + ] {d you know, } rather than have them stoop down to get over,  /""]", c and  f uh  whatever i get i want to have f uh  air bags f uh  both drivers and passenger side and four door because its much more convenient if youre carrying anybody  to   d you know  rather than have them stoop down to get over  ,sv,MALE,3
['{c so } --'],c so  ,sd,MALE,1
['sure. /'],sure ,b,MALE,2
['-- i think the four door is probably a major requirement  /'], i think the four door is probably a major requirement  ,+,MALE,0
"['{c and, } other than that, {f uh, } {d you know, } reasonable cost and safety and, {f uh, } as much economy as you can get out of a car.  /']",c and  other than that f uh  d you know  reasonable cost and safety and f uh  as much economy as you can get out of a car  ,sd,MALE,1
"[""{f uh, } {d you know, } i'm not looking for one with a great big engine, {f uh } -- /""]",f uh  d you know  im not looking for one with a great big engine f uh   ,sd,MALE,1
['sure. /'],sure ,b,MALE,2
"['-- something that will carry it around careful, i guess is [ best, + best ] way to describe it.  /']", something that will carry it around careful i guess is  best  best  way to describe it  ,sv,MALE,3
"[""right now, we've got a v six  /""]",right now weve got a v six  ,sd,MALE,1
"['{c and } [ it, + that ] seems to be just fine.  /']",c and   it  that  seems to be just fine  ,sv,MALE,3
"[""i know [ they s-, + they're coming ] out with some v eight now  /""]",i know  they s  theyre coming  out with some v eight now  ,sd,MALE,1
"[""{c and } i think that's probably a little over kill for this day and age. /""]",c and  i think thats probably a little over kill for this day and age ,sv,MALE,3
"['yeah,  /']",yeah  ,aa,MALE,4
"['i was surprised to hear that the v eights are coming back,  /']",i was surprised to hear that the v eights are coming back  ,sd,MALE,1
"[""{c so, } they've got some pretty powerful sixes. /""]",c so  theyve got some pretty powerful sixes ,sv,MALE,3
['uh-huh. /'],uhhuh ,b,MALE,2
"['{c and, } {f uh, } {d you know, } v eights seem to be a return to the days of, {d you know, } ten or twelve miles a gallon. /']",c and  f uh  d you know  v eights seem to be a return to the days of d you know  ten or twelve miles a gallon ,sv,MALE,3
['right.  /'],right  ,b,MALE,2
"['[ i, + {f uh, } i ] drive [ [ a, + a truck, ] + a ford truck. ]  /']", i  f uh  i  drive   a  a truck   a ford truck   ,sd,MALE,1
"[""[ i, + i ] like trucks because they're spacious,  /""]", i  i  like trucks because theyre spacious  ,sd,MALE,1
"[""{c and } it's handy to haul things.  /""]",c and  its handy to haul things  ,sd,MALE,1
"[""{f uh, } it's not related to my business,  /""]",f uh  its not related to my business  ,sd,MALE,1
"['i just really use it, basically, for transportation,  /']",i just really use it basically for transportation  ,sd,MALE,1
"[""{c but } there's so many occasions when i've had to move some members of the family or do this or that,  /""]",c but  theres so many occasions when ive had to move some members of the family or do this or that  ,sd,MALE,1
"[""{c and } [ it's + --""]",c and   its  ,sv,MALE,3
['sure. /'],sure ,b,MALE,2
"[""-- it's ] handy to have a truck and not have to borrow one. /""]", its  handy to have a truck and not have to borrow one ,+,MALE,0
"['is, {f uh, } traction much of an issue for you up there. /']",is f uh  traction much of an issue for you up there ,qy,MALE,7
['traction? /'],traction ,br,MALE,30
['(( )).'], ,x,MALE,8
"['{f uh, } not really, {f uh, } {d you know, }  /']",f uh  not really f uh  d you know   ,ng,MALE,29
"[""it's a two wheel drive truck  /""]",its a two wheel drive truck  ,sd,MALE,1
"[""{c and } i figure if it's so bad that i need a four wheel drive, i probably ought to be home anyway <laughter>. /""]",c and  i figure if its so bad that i need a four wheel drive i probably ought to be home anyway laughter ,sv,MALE,3
"['actually, {f uh, } pretty good way of looking at it,  /']",actually f uh  pretty good way of looking at it  ,sv,MALE,3
['yeah.  /'],yeah  ,%,MALE,5
"['[ we, + {f uh, } we ] had a small accident with our mini van --']", we  f uh  we  had a small accident with our mini van ,sd,MALE,1
['wow. /'],wow ,ba,MALE,6
['-- a few years ago.  /'], a few years ago  ,+,MALE,0
"['a case where there was a, sort of freak ice storm  /']",a case where there was a sort of freak ice storm  ,sd,MALE,1
"[""{c and } we weren't aware of it, and just slipped on some black ice and went into another car,  /""]",c and  we werent aware of it and just slipped on some black ice and went into another car  ,sd,MALE,1
"['{c and, } this is a rear wheel drive model.  /']",c and  this is a rear wheel drive model  ,sd,MALE,1
"['{c so, } we got some monster studded snow tires after that. /']",c so  we got some monster studded snow tires after that ,sd,MALE,1
['uh-huh. /'],uhhuh ,b,MALE,2
"[""haven't had any problems since. /""]",havent had any problems since ,sd,MALE,1
"['[ what kind of, + what make ] is the mini van? /']", what kind of  what make  is the mini van ,qw,MALE,12
"[""it's a mazda. /""]",its a mazda ,sd,MALE,1
"['mazda,  /']",mazda  ,b^m,MALE,24
['i see. /'],i see ,bk,MALE,14
"[""{c and, } {f uh, } we're pleased with it in terms of comfort, and, {f uh, } driveability.  /""]",c and  f uh  were pleased with it in terms of comfort and f uh  driveability  ,sd,MALE,1
"[""fuel economy isn't great, being a mini van,  /""]",fuel economy isnt great being a mini van  ,sd,MALE,1
"[""{c but, } {f uh } it's real nice for carrying around our kids and others  /""]",c but  f uh  its real nice for carrying around our kids and others  ,sv,MALE,3
['{c and } --'],c and  ,sd,MALE,1
['right. /'],right ,b,MALE,2
